ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS
217155,2012,15,1/15/2012,19690,HA,515,13830,OGG,Kahului,HI,HNL,Honolulu,HI,2315,1,46,27,101,Pacific/Honolulu,1326705300000,Pacific/Honolulu,1326621660000
703288,2012,15,1/15/2012,19690,HA,515,13830,OGG,Kahului,HI,HNL,Honolulu,HI,2315,1,46,27,101,Pacific/Honolulu,1326705300000,Pacific/Honolulu,1326621660000
183792,2012,20,1/20/2012,20366,EV,6128,13930,ORD,Chicago,IL,LAN,Lansing,MI,2120,1,101,29,179,America/Chicago,1327116000000,America/New_York,1327035660000
669925,2012,20,1/20/2012,20366,EV,6128,13930,ORD,Chicago,IL,LAN,Lansing,MI,2120,1,101,29,179,America/Chicago,1327116000000,America/New_York,1327035660000
367881,2012,21,1/21/2012,20355,US,1515,11057,CLT,Charlotte,NC,ILM,Wilmington,NC,2317,1,44,32,185,America/New_York,1327205820000,America/New_York,1327122060000
854014,2012,21,1/21/2012,20355,US,1515,11057,CLT,Charlotte,NC,ILM,Wilmington,NC,2317,1,44,32,185,America/New_York,1327205820000,America/New_York,1327122060000
67596,2012,22,1/22/2012,20409,B6,1018,12478,JFK,New York,NY,BOS,Boston,MA,2254,1,67,34,187,America/New_York,1327290840000,America/New_York,1327208460000
553729,2012,22,1/22/2012,20409,B6,1018,12478,JFK,New York,NY,BOS,Boston,MA,2254,1,67,34,187,America/New_York,1327290840000,America/New_York,1327208460000
1039862,2012,22,1/22/2012,20409,B6,1018,12478,JFK,New York,NY,BOS,Boston,MA,2254,1,67,34,187,America/New_York,1327290840000,America/New_York,1327208460000
123705,2012,29,1/29/2012,19790,DL,1441,10397,ATL,Atlanta,GA,CLT,Charlotte,NC,2258,1,63,39,226,America/New_York,1327895880000,America/New_York,1327813260000
609838,2012,29,1/29/2012,19790,DL,1441,10397,ATL,Atlanta,GA,CLT,Charlotte,NC,2258,1,63,39,226,America/New_York,1327895880000,America/New_York,1327813260000
24411,2012,5,1/5/2012,19805,AA,1410,11298,DFW,Dallas/Fort Worth,TX,TUL,Tulsa,OK,2310,1,51,40,237,America/Chicago,1325826600000,America/Chicago,1325743260000
510544,2012,5,1/5/2012,19805,AA,1410,11298,DFW,Dallas/Fort Worth,TX,TUL,Tulsa,OK,2310,1,51,40,237,America/Chicago,1325826600000,America/Chicago,1325743260000
996677,2012,5,1/5/2012,19805,AA,1410,11298,DFW,Dallas/Fort Worth,TX,TUL,Tulsa,OK,2310,1,51,40,237,America/Chicago,1325826600000,America/Chicago,1325743260000
17900,2012,15,1/15/2012,19805,AA,1127,11298,DFW,Dallas/Fort Worth,TX,SAT,San Antonio,TX,2259,1,62,44,247,America/Chicago,1326689940000,America/Chicago,1326607260000
504033,2012,15,1/15/2012,19805,AA,1127,11298,DFW,Dallas/Fort Worth,TX,SAT,San Antonio,TX,2259,1,62,44,247,America/Chicago,1326689940000,America/Chicago,1326607260000
990166,2012,15,1/15/2012,19805,AA,1127,11298,DFW,Dallas/Fort Worth,TX,SAT,San Antonio,TX,2259,1,62,44,247,America/Chicago,1326689940000,America/Chicago,1326607260000
