ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
236813,2012,12,1/12/2012,20398,MQ,3731,13930,ORD,Chicago,IL,MSP,Minneapolis,MN,2354,111,111,111,334,America/Chicago,1.32643E+12,America/Chicago,1.32635E+12,TRUE
722946,2012,12,1/12/2012,20398,MQ,3731,13930,ORD,Chicago,IL,MSP,Minneapolis,MN,2354,111,111,111,334,America/Chicago,1.32643E+12,America/Chicago,1.32635E+12,TRUE
180910,2012,20,1/20/2012,20366,EV,6057,13930,ORD,Chicago,IL,BNA,Nashville,TN,2351,322,111,111,409,America/Chicago,1.32713E+12,America/Chicago,1.32705E+12,TRUE
667043,2012,20,1/20/2012,20366,EV,6057,13930,ORD,Chicago,IL,BNA,Nashville,TN,2351,322,111,111,409,America/Chicago,1.32713E+12,America/Chicago,1.32705E+12,TRUE
320758,2012,23,1/23/2012,19977,UA,762,13930,ORD,Chicago,IL,LGA,New York,NY,2349,111,111,111,733,America/Chicago,1.32738E+12,America/New_York,1.3273E+12,FALSE
349559,2012,5,1/5/2012,20355,US,125,12173,HNL,Honolulu,HI,PHX,Phoenix,AZ,2349,111,111,111,2917,Pacific/Honolulu,1.32584E+12,America/Phoenix,1.32575E+12,FALSE
806891,2012,23,1/23/2012,19977,UA,762,13930,ORD,Chicago,IL,LGA,New York,NY,2349,111,111,111,733,America/Chicago,1.32738E+12,America/New_York,1.3273E+12,FALSE
835692,2012,5,1/5/2012,20355,US,125,12173,HNL,Honolulu,HI,PHX,Phoenix,AZ,2349,111,111,111,2917,Pacific/Honolulu,1.32584E+12,America/Phoenix,1.32575E+12,FALSE
175525,2012,22,1/22/2012,20366,EV,5908,13930,ORD,Chicago,IL,PIA,Peoria,IL,2346,111,111,111,130,America/Chicago,1.3273E+12,America/Chicago,1.32722E+12,TRUE
661658,2012,22,1/22/2012,20366,EV,5908,13930,ORD,Chicago,IL,PIA,Peoria,IL,2346,111,111,111,130,America/Chicago,1.3273E+12,America/Chicago,1.32722E+12,TRUE
