ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS_TMP,ARR_TIME_UTC_MS,TIME_TAKEN,DELAY,WRONG
76558,2012,3,1/3/2012,19790,DL,674,15024,STT,Charlotte Amalie,VI,ATL,Atlanta,GA,1544,3,111,111,1599,America/Barbados,1325619840000,America/New_York,1325566980000,1325653380000,559,-448,TRUE
562691,2012,3,1/3/2012,19790,DL,674,15024,STT,Charlotte Amalie,VI,ATL,Atlanta,GA,1544,3,111,111,1599,America/Barbados,1325619840000,America/New_York,1325566980000,1325653380000,559,-448,TRUE
331902,2012,22,1/22/2012,19977,UA,1445,15024,STT,Charlotte Amalie,VI,IAD,Washington,DC,1526,2124,111,111,1606,America/Barbados,1327260360000,America/New_York,1327285440000,1327285440000,418,-307,TRUE
818035,2012,22,1/22/2012,19977,UA,1445,15024,STT,Charlotte Amalie,VI,IAD,Washington,DC,1526,2124,111,111,1606,America/Barbados,1327260360000,America/New_York,1327285440000,1327285440000,418,-307,TRUE
62267,2012,12,1/12/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1523,1832,189,171,1693,America/Barbados,1326396180000,America/New_York,1326411120000,1326411120000,249,-60,FALSE
62839,2012,13,1/13/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1532,1840,188,171,1693,America/Barbados,1326483120000,America/New_York,1326498000000,1326498000000,248,-60,FALSE
63364,2012,14,1/14/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1551,1851,180,163,1693,America/Barbados,1326570660000,America/New_York,1326585060000,1326585060000,240,-60,FALSE
66803,2012,20,1/20/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1543,1915,212,184,1693,America/Barbados,1327088580000,America/New_York,1327104900000,1327104900000,272,-60,FALSE
68485,2012,23,1/23/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1514,1819,185,171,1693,America/Barbados,1327346040000,America/New_York,1327360740000,1327360740000,245,-60,FALSE
70126,2012,26,1/26/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1458,1818,200,180,1693,America/Barbados,1327604280000,America/New_York,1327619880000,1327619880000,260,-60,FALSE
70721,2012,27,1/27/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1606,1928,202,181,1693,America/Barbados,1327694760000,America/New_York,1327710480000,1327710480000,262,-60,FALSE
71229,2012,28,1/28/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1518,1822,184,165,1693,America/Barbados,1327778280000,America/New_York,1327792920000,1327792920000,244,-60,FALSE
71810,2012,29,1/29/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1810,175,160,1693,America/Barbados,1327864500000,America/New_York,1327878600000,1327878600000,235,-60,FALSE
72401,2012,30,1/30/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1822,187,170,1693,America/Barbados,1327950900000,America/New_York,1327965720000,1327965720000,247,-60,FALSE
548400,2012,12,1/12/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1523,1832,189,171,1693,America/Barbados,1326396180000,America/New_York,1326411120000,1326411120000,249,-60,FALSE
548972,2012,13,1/13/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1532,1840,188,171,1693,America/Barbados,1326483120000,America/New_York,1326498000000,1326498000000,248,-60,FALSE
549497,2012,14,1/14/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1551,1851,180,163,1693,America/Barbados,1326570660000,America/New_York,1326585060000,1326585060000,240,-60,FALSE
